PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Age_Missing,Deck
98,1,2,"Anderson, Mr. Henry",male,14.351096236682418,0,5,247225,22.6985,,S,0,U
99,1,1,"Thompson, Miss. Helen",female,24.909756452103576,1,0,934433,13.8547,C63,C,0,C
100,1,1,"White, Miss. Mary",female,28.607194141219725,0,0,243725,127.9218,,Q,1,U
101,1,1,"Taylor, Mrs. Anna",female,16.271524273861843,1,0,286600,95.7365,,S,0,U
102,0,3,"Martin, Mr. Arthur",male,28.607194141219725,0,1,119599,25.5255,,S,1,U
103,1,2,"Johnson, Dr. William",male,61.17037861808818,0,0,883108,20.7758,,S,0,U
104,0,3,"Davis, Mr. Edward",male,22.4080472713227,0,0,93721,4.3179,,S,0,U
105,0,3,"Harris, Mr. Arthur",male,4.845667818307256,1,0,834356,3.4176,,Q,0,U
106,1,2,"Williams, Mrs. Mary",female,3.462085260894362,0,0,820672,16.0929,,S,0,U
107,1,2,"Davis, Dr. Arthur",male,18.33277017686391,1,1,359525,17.151,,S,0,U
108,0,3,"Brown, Miss. Helen",female,53.36107343078308,0,0,281372,8.4619,,C,0,U
109,0,1,"Harris, Mr. George",male,14.351504845033546,1,0,818118,90.424,,C,0,U
110,1,1,"Harris, Dr. Joseph",male,24.978147177315137,0,0,546208,54.3678,,Q,0,U
111,0,2,"Wilson, Major. Arthur",male,18.23451849312383,0,0,541720,22.5421,,S,0,U
112,1,1,"Thompson, Mrs. Ethel",female,7.545153118671159,1,1,466791,57.9676,,S,0,U
113,1,3,"Williams, Ms. Mary",female,12.125992966855122,0,0,644795,18.0536,,S,0,U
114,0,3,"Taylor, Miss. Helen",female,26.737295580950715,0,0,402653,10.5192,,S,0,U
115,1,3,"Davis, Miss. Ethel",female,2.076325034769664,0,0,343869,22.9697,,S,0,U
116,0,3,"Garcia, Mrs. Alice",female,14.91432458667298,1,0,758935,18.2184,F45,S,0,F
117,1,3,"Martinez, Mrs. Rose",female,20.377311082373183,2,0,699270,14.5487,D9,S,0,D
118,1,1,"Wilson, Mr. Joseph",male,42.87584639718023,0,0,656052,73.6161,,C,0,U
119,0,3,"Brown, Mr. Edward",male,32.588150373936884,0,0,171298,0.8479,,S,0,U
120,1,3,"Moore, Mr. Edward",male,28.607194141219725,1,0,214222,24.3084,,C,1,U
121,1,3,"Garcia, Mrs. Florence",female,28.607194141219725,0,0,331243,7.5538,,S,1,U
122,1,3,"Miller, Miss. Margaret",female,38.12738827919168,2,0,122557,13.7259,,C,0,U
123,0,2,"Martin, Dr. William",male,27.13986533377428,0,1,883192,23.438,,S,0,U
124,1,1,"Garcia, Mrs. Helen",female,28.607194141219725,4,1,552301,74.8244,,C,1,U
125,1,1,"Smith, Miss. Margaret",female,47.88095452832951,1,0,555734,151.7301,,S,0,U
126,0,2,"Wilson, Dr. George",male,23.83584498049418,1,0,901641,7.7863,,S,0,U
127,0,3,"Brown, Mr. Henry",male,26.89635988001306,0,0,506409,26.8715,,C,0,U
128,1,3,"Martinez, Miss. Margaret",female,29.88604844362017,0,1,735735,18.3725,,S,0,U
129,0,1,"Martin, Major. Robert",male,19.41147205519996,0,1,990013,71.679,B84,S,0,B
130,1,3,"Jackson, Mrs. Helen",female,17.28431375017623,0,1,636549,11.1182,,C,0,U
131,0,2,"Jones, Mr. John",male,28.607194141219725,0,1,892171,2.1682,,C,1,U
132,1,1,"Brown, Miss. Anna",female,26.192345842766414,0,0,272701,41.5884,B17,S,0,B
133,1,1,"Jones, Lady. Ethel",female,43.66624349485038,1,1,958170,66.3048,,S,0,U
134,1,2,"Miller, Miss. Emma",female,22.24850113983359,0,0,702749,21.761,,S,0,U
135,0,3,"Thomas, Major. James",male,28.607194141219725,0,0,713060,23.0766,,S,1,U
136,0,2,"Harris, Miss. Ethel",female,20.635357061990863,0,0,140878,40.3755,,Q,0,U
137,1,3,"Johnson, Miss. Rose",female,28.607194141219725,0,2,633431,15.1781,,S,1,U
138,1,3,"Martin, Mr. Edward",male,42.58107842158861,0,1,558866,14.6449,F6,S,0,F
139,1,2,"Smith, Mrs. Florence",female,56.414251639984,0,0,609067,15.0965,,Q,0,U
140,0,3,"Johnson, Mr. James",male,18.61057510887269,1,0,674956,0.7208,,S,0,U
141,0,3,"Anderson, Mr. Henry",male,28.5807044123012,0,1,853932,8.1537,,S,0,U
142,0,2,"Thompson, Mr. William",male,28.607194141219725,0,0,606822,17.945,,S,1,U
143,0,3,"Smith, Mr. James",male,28.607194141219725,0,0,806561,20.8032,,S,1,U
144,1,2,"Johnson, Mr. Edward",male,37.44442836375922,1,0,466610,25.1951,,S,0,U
145,1,2,"Harris, Mrs. Ethel",female,18.65975324312141,0,0,207118,22.2155,,S,0,U
146,1,1,"Smith, Mr. Robert",male,36.61728278507399,1,0,808028,54.96,,S,0,U
147,1,3,"Williams, Miss. Ethel",female,11.875394722037363,0,0,599643,2.8569,,S,0,U
148,0,3,"Harris, Mr. George",male,28.832677977861483,1,2,547262,2.374,,S,0,U
149,1,1,"Williams, Mr. George",male,21.74126982987941,0,0,207745,0.8132,,S,0,U
150,0,2,"White, Mr. Charles",male,41.81996519336385,0,1,908436,17.0799,A77,S,0,A
151,0,3,"Thomas, Mrs. Ethel",female,28.607194141219725,0,0,261366,20.9524,,S,1,U
152,0,1,"Williams, Mr. James",male,15.021465392872951,0,0,398938,132.3533,C95,S,0,C
153,1,1,"Martinez, Dr. Robert",male,12.29438995541518,0,0,496649,123.6858,C14,S,0,C
154,0,3,"Johnson, Mrs. Helen",female,29.32191014081487,1,0,866634,8.8792,E47,S,0,E
155,1,3,"White, Dr. Edward",male,31.843023936869983,0,1,84442,22.1541,,S,0,U
156,1,2,"Williams, Mr. Charles",male,21.746056624106384,1,0,687178,10.6893,,C,0,U
157,0,3,"Thompson, Mr. Edward",male,28.607194141219725,1,0,970750,19.8271,,S,1,U
158,1,3,"White, Ms. Margaret",female,22.84685823770609,0,0,589886,0.71662,,C,0,U
159,1,1,"Martin, Mr. William",male,25.89232277821137,1,2,143726,25.1444,,C,0,U
160,1,3,"Williams, Miss. Ethel",female,5.624714271233586,0,0,568046,26.2209,D64,S,0,D
161,1,2,"Jackson, Col. Joseph",male,34.56177193007095,0,0,820636,17.9617,C68,S,0,C
162,0,3,"Martinez, Miss. Ruth",female,41.60677275465218,3,0,137309,7.5522,,Q,0,U
163,1,3,"Miller, Mrs. Florence",female,37.882775452291526,0,1,700288,21.8221,,S,0,U
164,1,3,"Wilson, Mrs. Ethel",female,40.1818693763264,0,0,523644,22.739,,C,0,U
165,0,1,"Smith, Mr. Joseph",male,47.76841719041731,0,0,194681,62.336,,S,0,U
166,1,3,"White, Miss. Emma",female,21.94596187845513,0,0,564840,15.2277,,S,0,U
167,0,2,"Moore, Mr. Joseph",male,47.37606281430217,4,0,413552,21.3691,,S,0,U
168,0,1,"Brown, Mr. Edward",male,38.03161842003576,0,0,319181,57.3551,,S,0,U
169,1,1,"Johnson, Mr. Henry",male,8.697644203142627,0,0,157278,14.207,,S,0,U
170,1,3,"Moore, Lady. Margaret",female,42.09097256496291,0,0,569119,20.538,,S,0,U
171,0,3,"Martin, Mrs. Mary",female,28.607194141219725,0,0,53563,6.3392,,C,1,U
172,0,1,"Martin, Mrs. Emma",female,28.607194141219725,0,0,28361,110.4919,,C,1,U
173,0,3,"Anderson, Major. James",male,28.607194141219725,0,0,837767,15.1043,,S,1,U
174,1,1,"Jones, Mr. George",male,28.607194141219725,0,2,84469,144.7716,,C,1,U
175,0,3,"Williams, Miss. Alice",female,28.607194141219725,0,2,530581,2.0897,,C,1,U
176,1,1,"Moore, Dr. Charles",male,57.09448471237766,2,0,520571,103.7103,A54,Q,0,A
177,0,3,"Williams, Mr. Edward",male,49.605597127133954,0,1,560104,12.4767,,S,0,U
178,1,2,"Smith, Mr. Robert",male,37.75914585524456,1,0,791710,12.1023,,C,0,U
179,0,3,"Harris, Mr. Henry",male,8.378717053122593,1,2,680979,6.6256,,S,0,U
180,0,1,"Thomas, Mr. Joseph",male,28.607194141219725,1,0,244295,95.374,,S,1,U
181,0,2,"Martinez, Dr. Henry",male,21.704866087018974,1,0,626767,26.2967,A16,Q,0,A
182,0,1,"Wilson, Rev. Henry",male,33.28969024742746,0,0,36819,87.1798,,S,0,U
183,1,3,"Martinez, Mr. Robert",male,28.607194141219725,0,1,939245,13.7577,,S,1,U
184,1,3,"Brown, Mrs. Emma",female,28.226921048284527,0,0,394474,9.012,,C,0,U
185,0,2,"Thomas, Col. James",male,28.607194141219725,0,0,18798,15.6781,,S,1,U
186,0,3,"Moore, Mr. Robert",male,22.32567101643055,1,0,690503,6.6602,,C,0,U
187,0,3,"Miller, Mrs. Ethel",female,17.0133280592542,0,0,846127,8.8512,C34,S,0,C
188,0,3,"Garcia, Mr. Henry",male,28.098033970564572,1,0,435963,17.7574,,S,0,U
189,0,3,"Wilson, Mrs. Rose",female,26.59606954786972,0,0,778230,18.6512,,S,0,U
190,1,2,"Smith, Miss. Mary",female,28.607194141219725,2,0,764547,7.2412,D52,C,1,D
191,1,1,"Williams, Mr. William",male,0.5,0,2,663832,39.1782,,S,0,U
192,0,3,"Martin, Mr. Edward",male,25.258321241093743,0,0,686542,7.3168,,Q,0,U
193,1,3,"Thompson, Miss. Helen",female,35.56312647634556,0,0,263800,12.4877,,C,0,U
194,0,3,"Thompson, Mrs. Ruth",female,22.66835881259817,1,0,543703,0.71662,,S,0,U
195,1,2,"Anderson, Mr. John",male,28.607194141219725,0,0,938589,11.2109,B10,S,1,B
196,0,2,"Davis, Mr. John",male,30.132512716317542,2,1,418224,6.1442,,Q,0,U
197,0,3,"Taylor, Mr. Joseph",male,31.77132487025277,1,1,621926,16.2039,,S,0,U
198,0,3,"Moore, Miss. Mary",female,52.16671002776447,1,0,552740,12.7626,,S,0,U
199,0,3,"Moore, Mr. George",male,44.18838150437541,0,2,467291,9.2996,,C,0,U
200,1,3,"Martinez, Miss. Margaret",female,50.33929194443,1,2,411336,4.4938,,C,0,U
201,1,3,"Moore, Mrs. Emma",female,0.5,1,2,729745,9.4232,,S,0,U
202,0,1,"Anderson, Mr. John",male,30.96384023797394,0,0,644493,55.7654,,S,0,U
203,1,1,"Wilson, Mr. Edward",male,59.45142344286408,0,0,28170,165.7333,,S,0,U
204,0,3,"Wilson, Mr. John",male,38.34955896764716,0,0,26259,20.9762,,S,0,U
205,1,3,"Jackson, Mr. Arthur",male,23.168093573098844,0,0,294243,7.4743,,C,0,U
206,1,1,"Jones, Mr. Robert",male,28.607194141219725,0,0,150721,92.2598,,Q,1,U
207,0,1,"Jackson, Mr. John",male,28.607194141219725,3,1,139394,131.2104,,S,1,U
208,0,3,"Harris, Miss. Anna",female,33.24467921732678,0,0,331402,7.4719,,C,0,U
209,1,1,"Johnson, Mr. John",male,34.46824406128787,0,0,182109,13.1445,,Q,0,U
210,1,1,"Brown, Mr. William",male,31.834290669101776,3,0,283949,5.8429,,S,0,U
211,1,3,"Harris, Mrs. Florence",female,33.700523004354594,0,0,519212,23.1781,,S,0,U
212,1,3,"Thompson, Mrs. Rose",female,29.024110462262332,1,0,264599,11.4715,,C,0,U
213,1,3,"Martinez, Mrs. Margaret",female,41.7009718482839,0,1,53147,15.3306,F25,S,0,F
214,1,1,"Johnson, Miss. Ethel",female,15.396454424002137,0,0,84280,55.2881,,S,0,U
215,0,3,"Taylor, Mr. Arthur",male,14.410730746008104,0,1,187125,2.8568,,S,0,U
216,0,1,"White, Mr. Henry",male,54.78234661906182,0,4,378921,29.935,,S,0,U
217,1,2,"Moore, Miss. Emma",female,28.607194141219725,0,0,632129,6.5897,B62,S,1,B
218,0,3,"Miller, Mrs. Anna",female,33.53272529501635,1,4,494609,19.8,,S,0,U
219,0,3,"Miller, Mr. Edward",male,31.54545494750776,0,0,659014,24.9405,D60,Q,0,D
220,1,3,"Johnson, Mrs. Emma",female,22.718848164696137,1,0,400503,13.298,,S,0,U
221,0,3,"Anderson, Mr. Arthur",male,17.17705381832602,0,0,86215,0.8576,F48,S,0,F
222,0,3,"Jones, Mr. John",male,45.88012711443497,0,0,647197,16.9727,E56,S,0,E
223,1,1,"Miller, Mr. Henry",male,10.48636538661908,1,1,367509,147.2492,D55,C,0,D
224,0,2,"Anderson, Mr. William",male,22.07419975949405,0,0,283129,29.7167,,C,0,U
225,0,2,"Jackson, Mr. George",male,38.69046577391194,1,0,284535,19.7087,,S,0,U
226,0,2,"Miller, Mr. James",male,44.56263990709853,3,0,539149,17.6552,,S,0,U
227,0,3,"Williams, Miss. Ethel",female,32.398992348544844,1,0,991086,12.7027,,S,0,U
228,0,2,"Wilson, Dr. Arthur",male,61.17037861808818,0,0,271968,32.2525,,C,0,U
229,1,3,"Brown, Mr. Edward",male,17.435118115659066,0,1,717288,19.0829,F69,S,0,F
230,1,3,"Davis, Miss. Alice",female,9.837020014874028,1,0,306508,9.9139,F34,C,0,F
231,0,3,"Davis, Mrs. Ruth",female,43.886848564550405,1,0,354543,9.7127,,S,0,U
232,0,3,"Smith, Mrs. Florence",female,32.1713946453995,0,0,500251,9.1464,,S,0,U
233,0,3,"Martinez, Mrs. Anna",female,28.607194141219725,0,0,783360,4.4829,,C,1,U
234,0,3,"Williams, Mrs. Mary",female,37.92334396214039,0,0,524060,23.8147,,S,0,U
235,1,1,"Thompson, Mr. George",male,28.607194141219725,0,1,234402,44.6088,,S,1,U
236,1,3,"Wilson, Mr. Charles",male,6.17011840035417,0,0,577211,16.9222,,Q,0,U
237,0,2,"Thomas, Mr. Charles",male,21.636072887994807,0,0,935423,13.3857,A4,C,0,A
238,1,1,"Thompson, Mr. George",male,45.09062435234655,1,0,196968,60.1388,,S,0,U
239,0,3,"Williams, Col. Charles",male,22.243225892221027,2,0,511854,12.089,,S,0,U
240,0,1,"White, Mrs. Rose",female,20.960382994198863,0,0,357962,111.2621,,S,0,U
241,0,3,"Martinez, Mr. George",male,46.81420665640647,0,0,974900,10.9262,,C,0,U
242,0,3,"Taylor, Dr. George",male,33.96124658310479,0,0,700200,3.8864,,S,0,U
243,0,3,"Taylor, Mr. William",male,28.607194141219725,4,1,707615,13.1527,C88,S,1,C
244,1,2,"Miller, Miss. Ethel",female,28.607194141219725,4,0,343304,12.3333,,S,1,U
245,1,1,"Thompson, Mr. Charles",male,32.2360482015494,2,0,138165,161.1919,,S,0,U
246,0,3,"Thompson, Mrs. Helen",female,26.644119352089557,1,0,240314,10.9204,,S,0,U
247,0,2,"Brown, Major. Joseph",male,28.607194141219725,0,0,411392,13.3203,,Q,1,U
248,0,3,"Thompson, Mr. Henry",male,28.607194141219725,1,2,305673,28.7984,,S,1,U
249,0,3,"Martinez, Mr. James",male,0.5,0,0,459622,18.9111,,C,0,U
250,1,3,"Jackson, Mrs. Mary",female,28.607194141219725,0,0,678301,5.8258,D23,S,1,D
251,1,2,"White, Mr. George",male,28.607194141219725,1,0,535957,12.0909,,S,1,U
252,1,2,"Thomas, Miss. Florence",female,28.607194141219725,0,1,751142,24.7418,,C,1,U
253,0,3,"Martinez, Mr. Edward",male,35.57828772001031,0,0,913805,13.3478,,S,0,U
254,0,2,"Williams, Mr. James",male,18.402435632888917,0,0,317003,28.9018,C52,S,0,C
255,1,1,"Anderson, Mrs. Mary",female,28.607194141219725,0,0,590074,50.8662,,C,1,U
256,1,3,"Williams, Miss. Ruth",female,0.5,1,0,716443,18.6089,,S,0,U
257,1,3,"Martinez, Mrs. Alice",female,23.64370677560995,0,0,967580,4.9063,,S,0,U
258,1,3,"Wilson, Mrs. Mary",female,28.607194141219725,0,0,554611,11.7645,B96,S,1,B
259,0,3,"Jones, Miss. Emma",female,28.607194141219725,0,2,240502,8.0626,,S,1,U
260,1,1,"Johnson, Miss. Helen",female,28.607194141219725,0,0,791537,61.2477,,C,1,U
261,0,3,"Anderson, Miss. Alice",female,28.607194141219725,0,0,540309,12.177,,S,1,U
262,0,3,"Thompson, Miss. Ethel",female,18.101413192467408,0,1,530766,22.108,A21,C,0,A
263,1,1,"White, Mrs. Helen",female,28.607194141219725,0,0,311951,26.298,,S,1,U
264,1,3,"Thompson, Rev. Arthur",male,28.607194141219725,1,4,400449,4.5043,,S,1,U
265,1,3,"Martin, Mrs. Florence",female,29.414448226170308,5,0,322499,4.6956,,S,0,U
266,0,3,"Miller, Mr. Arthur",male,10.98503664063326,0,0,505655,21.1795,,C,0,U
267,1,3,"Brown, Mrs. Mary",female,31.439598968378444,0,0,647703,0.71662,,S,0,U
268,0,3,"Harris, Miss. Ethel",female,26.36028711579002,0,0,972236,8.4244,,C,0,U
269,0,2,"Martinez, Mr. William",male,46.865442159911865,1,0,280855,28.3958,,S,0,U
270,0,2,"White, Miss. Emma",female,17.565401926961712,0,2,466295,19.4157,,Q,0,U
271,1,3,"Harris, Mr. Charles",male,7.300481814289633,1,4,17904,22.0297,,C,0,U
272,0,3,"Davis, Col. Joseph",male,36.07248909240885,1,0,598321,3.2792,,C,0,U
273,1,3,"Wilson, Miss. Mary",female,28.607194141219725,2,0,765947,10.4271,,C,1,U
274,0,3,"Thompson, Mr. Edward",male,28.607194141219725,2,0,882910,23.6974,,S,1,U
275,0,3,"Martinez, Mrs. Emma",female,8.331562034196523,0,1,130035,3.9849,,C,0,U
276,1,3,"Jones, Miss. Margaret",female,32.041156480332546,0,0,755147,21.2785,,S,0,U
277,0,3,"Martin, Mr. Henry",male,26.32996798584932,3,0,196168,11.1145,,S,0,U
278,0,3,"Anderson, Dr. Arthur",male,61.17037861808818,0,0,231666,16.473,A65,S,0,A
279,1,3,"Taylor, Mr. George",male,28.607194141219725,0,0,766141,23.1173,,S,1,U
280,0,3,"Martin, Mr. Joseph",male,21.433090300235214,0,5,275237,16.4387,B59,S,0,B
281,1,3,"Williams, Mrs. Ethel",female,1.6924982858418254,0,0,297062,8.27,F5,S,0,F
282,0,2,"Harris, Major. James",male,9.360678095464262,1,0,203708,25.6206,,S,0,U
283,0,2,"Wilson, Major. Edward",male,28.607194141219725,0,0,724166,13.382,,S,1,U
284,0,1,"Davis, Mr. William",male,31.673796944378783,0,0,150466,97.6683,,S,0,U
